Studien zum Theater, Film und Fernsehen	0721-4162
Film und Fernsehen in Forschung und Lehre	0173-4970
Jahrbuch Kamera	0948-1419
Kulleraugen-Materialsammlung	0174-2582
Europäische Hochschulschriften	0721-3662
Filmwärts	0940-2322
Pastoraltheologie	0720-6259
Internationales Handbuch für Rundfunk und Fernsehen	0535-4358
Film and Television	0737-3988
Die deutschen Filme	0948-2539
Spielfilmliste	0071-4933
Films from Finland	0786-0218
International Guide Film, Video, Festivals	0949-989X
Diskurs Film: Münchner Beiträge zur Filmphilologie	0931-1416
MuK	0721-3271
Schriftenreihe der Deutschen Gesellschaft für Publizistik- und Kommunikationswissenschaft	1433-7665
Arbeitshefte Bildschirmmedien	0933-5412
Diskurs Film Bibliothek	1860-4536
Augen-Blick	0179-2555
L' avant-scène	0045-1150
Sprache im technischen Zeitalter	0038-8475
Kulleraugen	0171-5208
CinémAction	1241-8161
Filmespaña	0428-3767
Du	0012-6837
Arnoldshainer Texte	0720-9177
Schriftenreihe der Landesmedienanstalten	0947-4536
Der Rabe	1015-471X
Filmobibliografischer Jahresbericht	0015-1750
Kommunikation audiovisuell	1422-6960
Cinema	1010-3627
Schriften zum öffentlichen Recht	0582-0200
Statistisches Jahrbuch für die Bundesrepublik Deutschland	0081-5357
CICIM	0938-233X
Epd Film	0176-2044
Cahiers du cinéma	0757-8075
Film quarterly	0015-1386
Production Partner	0938-4073
TIP <Berlin>	0177-333X
Film-Dienst	0720-0781
Beiträge zur Film- und Fernsehwissenschaft	0232-718X
Filmexil	0942-7074
Zoom	1420-570X
Zeitschrift für Urheber- und Medienrecht	0177-6762
Steadycam	0935-5332
Professional Production	0932-0393
Screen	0036-9543
Jahresbibliographie Massenkommunikation	0177-5677
Brecht-Studien	0232-2617
Anthologie du cinéma	0570-2917
Cinefex	0198-1056
Montage, AV	0942-4954
Rundfunk und Fernsehen <Baden-Baden>	0035-9874
Beiträge zur Geschichte der deutschen sozialistischen Literatur im 20. Jahrhundert	0548-2712
Branchenführer Medien Berlin und Brandenburg	0949-9903
ARD-Jahrbuch	0066-5746
Jahrbuch Fernsehen	0949-9997
Bild & Ton	0006-2383
Blimp	1027-5991
Ciné-Bulletin	1018-2098
Film Informationen	0233-1632
