"ISSN","ISSN_L","ISSN_IN_DOAJ","ISSN_IN_ROAD","ISSN_IN_PMC","ISSN_IN_OAPC","ISSN_IN_WOS","ISSN_IN_SCOPUS","JOURNAL_IN_DOAJ","JOURNAL_IN_ROAD","JOURNAL_IN_PMC","JOURNAL_IN_OAPC","JOURNAL_IN_WOS","JOURNAL_IN_SCOPUS","TITLE","TITLE_SOURCE"
"0001-527X","0001-527X",0,1,0,0,1,1,0,1,0,0,1,1,"Acta Biochimica Polonica.","ROAD"
"0002-0591","0002-0591",0,1,0,0,0,0,0,1,0,0,0,0,"Afro-Ásia","ROAD"
"0002-3051","0002-3051",1,1,0,0,0,0,1,1,0,0,0,0,"Proceedings of NAS RA : Mechanics ","DOAJ"
"0003-4398","0003-4398",0,1,0,0,0,1,0,1,0,0,0,1,"Annales du Midi.","ROAD"
"0004-0738","0004-0738",0,1,0,0,0,1,1,1,0,0,0,1,"Archive of Mechanical Engineering ","DOAJ"
"0004-4822","0004-4822",0,1,0,0,0,1,0,1,0,0,0,1,"Revista de la Asociación Geológica Argentina.","ROAD"
"0005-1144","0005-1144",0,1,0,0,1,1,0,1,0,0,1,1,"Automatika","ROAD"
"0006-176X","0006-176X",1,0,0,0,0,0,1,0,0,0,0,0,"Bibliotecas: Anales de Investigación","DOAJ"
"0006-8705","0006-8705",1,1,0,0,1,1,1,1,0,0,1,1,"Bragantia","DOAJ"
"0007-5124","0007-5124",0,1,0,0,1,0,0,1,1,0,1,1,"Experimental animals.","ROAD"
"0008-350X","0008-350X",0,1,0,0,1,1,0,1,0,0,1,1,"Canadian family physician.","ROAD"
"0009-2770","0009-2770",0,1,0,0,1,1,0,1,0,0,1,1,"Chemické listy.","ROAD"
"0009-6784","0009-6784",1,1,0,0,0,0,1,1,0,0,0,0,"Ciencias Administrativas","DOAJ"
"0019-5146","0019-5146",0,1,0,0,0,0,0,1,0,0,0,0,"Indian journal of dairy science.","ROAD"
"0019-5359","0019-5359",0,1,0,0,0,1,0,1,0,0,0,1,"Indian journal of medical sciences.","ROAD"
"0021-5597","0021-5597",0,1,0,0,0,1,1,1,0,0,0,1,"Jazykovedný Časopis","DOAJ"
"0022-1430","0022-1430",1,0,0,1,1,1,1,0,0,1,1,1,"Journal of Glaciology","DOAJ"
"0023-4001","0023-4001",0,1,0,0,1,1,0,1,0,0,1,1,"Korean Journal of Parasitology","ROAD"
"0030-9648","0030-9648",1,1,0,0,0,0,1,1,0,0,0,0,"Pakistan Armed Forces Medical Journal","DOAJ"
"0034-7493","0034-7493",1,1,0,0,0,1,1,1,0,0,0,1,"Revista Cubana de Cirugía","DOAJ"
"0035-3213","0035-3213",0,1,0,0,0,0,0,1,0,0,0,0,"Revue géographique de l'Est.","ROAD"
"0036-8709","0036-8709",1,1,1,0,0,1,1,1,1,0,0,1,"Scientia Pharmaceutica","DOAJ"
"0037-5330","0037-5330",0,1,0,0,1,1,0,1,0,0,1,1,"Silva Fennica.","ROAD"
"0041-6932","0041-6932",0,1,0,0,1,1,0,1,0,0,1,1,"Revista de la Unión Matemática Argentina.","ROAD"
"0042-4870","0042-4870",0,1,0,0,1,1,1,1,0,0,1,1,"Bulletin of the Veterinary Institute in Pulawy","DOAJ"
"0048-749X","0048-749X",1,0,0,0,0,1,1,0,0,0,0,1,"The Review of Regional Studies","DOAJ"
"0066-5061","0066-5061",1,1,0,0,1,1,1,1,0,0,1,1,"Anuario de Estudios Medievales","DOAJ"
"0071-1713","0071-1713",0,1,0,0,1,1,0,1,0,0,1,1,"Estudios filológicos.","ROAD"
"0077-2712","0077-2712",1,1,0,0,0,0,1,1,0,0,0,0,"Mélanges CRAPEL","DOAJ"
"0078-8554","0078-8554",0,1,0,0,0,1,0,1,0,0,0,1,"Palaeontologia africana.","ROAD"
"0081-6485","0081-6485",0,1,0,0,0,0,0,1,0,0,0,0,"Studia Historiae Oeconomicae.","ROAD"
"0085-5626","0085-5626",1,1,0,0,1,1,1,1,0,0,1,1,"Revista Brasileira de Entomologia","DOAJ"
"0100-4158","0100-4158",0,1,0,0,0,1,0,1,0,0,0,1,"Fitopatologia Brasileira.","ROAD"
"0100-8587","0100-8587",1,1,0,0,0,0,1,1,0,0,0,0,"Religião e Sociedade","DOAJ"
"0101-4161","0101-4161",1,1,0,0,0,1,1,1,0,0,0,1,"Estudos Econômicos","DOAJ"
"0101-5303","0101-5303",0,1,0,0,0,0,0,1,0,0,0,0,"Estudos tecnológicos","ROAD"
"0101-708X","0101-708X",1,1,0,0,0,0,1,1,0,0,0,0,"Boletim Goiano de Geografia","DOAJ"
"0101-7136","0101-7136",1,1,0,0,0,0,1,1,0,0,0,0,"Inter-Ação","DOAJ"
"0101-8051","0101-8051",1,0,0,0,0,0,1,0,0,0,0,0,"Revista de Letras","DOAJ"
"0101-8191","0101-8191",0,1,0,0,0,0,0,1,0,0,0,0,"Revista Tecnologia.","ROAD"
"0101-9074","0101-9074",1,1,0,0,0,1,1,1,0,0,0,1,"História","DOAJ"
