publication_title;print _identifier;online_identifier;date_first_issue_online;num_first_vol_online;num_first_issue_online;date_last_issue_online;num_last_vol_online;num_last_issue_online;title_url;first_author;title_id;embargo_info;coverage_depth;coverage_notes;publisher_name
absatzwirtschaft;;;;;;;;;;;ASW;;;;
AfP Medien und Kommunikationsrecht;;;;;;;;;;;AFP;;;;
Aktuelles Steuerrecht;;;;;;;;;;;AKTS;;;;
ANALYSE & KRITIK - Zeitschrift fÅr Sozialtheorie;;;;;;;;;;;ANKR;;;;
AOStB - Der AO-Steuer-Berater;;;;;;;;;;;AOB;;;;
Applied Economics Quarterly;;;;;;;;;;;AEQ;;;;
Arbeitsmarkt im Fokus;;;;;;;;;;;AMIF;;;;
Arbeit und Arbeitsrecht;;;;;;;;;;;AUA;;;;
ARBEIT - Zeitschrift fÅr Arbeitsforschung, Arbeitsgestaltung und Arbeitspolitik;;;;;;;;;;;ZAAA;;;;
Archiv fÅr Wissenschaft und Praxis der sozialen Arbeit;;;;;;;;;;;AWPA;;;;
Der Aufsichtsrat;;;;;;;;;;;DAR;;;;
Bankmagazin;;;;;;;;;;;BAMA;;;;
Der Betrieb;;;;;;;;;;;MCDB;;;;
Der Betriebswirt;;;;;;;;;;;DBWV;;;;
Die Betriebswirtschaft;;;;;;;;;;;DBW;;;;
Betriebswirtschaftliche Forschung und Praxis;;;;;;;;;;;BFUP;;;;
Bilanzen im Mittelstand;;;;;;;;;;;BIM;;;;
brand eins Wirtschaftsmagazin;;;;;;;;;;;BE;;;;
Journal of Business Market Management;;;;;;;;;;;JBM;;;;
CONTROLLER Magazin;;;;;;;;;;;COWI;;;;
Corporate Finance;;;;;;;;;;;CF;;;;
CORPORATE FINANCE biz;;;;;;;;;;;FB;;;;
CORPORATE FINANCE law;;;;;;;;;;;CFLA;;;;
Creditreform - Das Unternehmermagazin;;;;;;;;;;;VCNE;;;;
DER KONZERN;;;;;;;;;;;KONZ;;;;
der moderne Staat - dms;;;;;;;;;;;DMS;;;;
Deutsche Steuer-Zeitung;;;;;;;;;;;DSTZ;;;;
Die Mediation;;;;;;;;;;;WIME;;;;
Diskurs Kindheits- und Jugendforschung;;;;;;;;;;;DISK;;;;
DIW Roundup - Politik im Fokus;;;;;;;;;;;DIWR;;;;
DIW Wochenbericht;;;;;;;;;;;DIWW;;;;
DLG-Mitteilungen;;;;;;;;;;;DLGM;;;;
DW Die Wohnungswirtschaft;;;;;;;;;;;DWW;;;;
EnzyklopÑdie der Betriebswirtschaftslehre;;;;;;;;;;;EDBW;;;;
ERP Management;;;;;;;;;;;ERP;;;;
ErwÑgen Wissen Ethik - Streitforum fÅr ErwÑgungskultur;;;;;;;;;;;EWK;;;;
EU Infobrief;;;;;;;;;;;EUIB;;;;
Europe's Journal of Psychology;;;;;;;;;;;EJOP;;;;
The European Journal of Counselling Psychology;;;;;;;;;;;EJCO;;;;
EuropÑische Zeitschrift fÅr Wirtschaftsrecht;;;;;;;;;;;EUZW;;;;
EXPERT FOCUS;;;;;;;;;;;EXFO;;;;
FachbeitrÑge der NDV - Nachrichtendienst des Deutschen Vereins fÅr îffentliche und private FÅrsorge;;;;;;;;;;;NDV;;;;
Fachzeitschrift fÅr Verbands- und Nonprofit-Management;;;;;;;;;;;VUNM;;;;
FB/IE;;;;;;;;;;;FBIE;;;;
Feministische Studien - Zeitschrift fÅr interdisziplinÑre Frauen- und Geschlechterforschung;;;;;;;;;;;FEMS;;;;
Finanzen & Steuern;;;;;;;;;;;VST;;;;
Finanzierung im Mittelstand;;;;;;;;;;;FIM;;;;
Finanzierung Leasing Factoring;;;;;;;;;;;FLF;;;;
Finanzwirtschaft;;;;;;;;;;;FIWI;;;;
Forensische Psychiatrie u. Psychotherapie;;;;;;;;;;;FPP;;;;
Forschungsjournal Soziale Bewegungen;;;;;;;;;;;FJSB;;;;
FR Finanz-Rundschau Ertragsteuerrecht;;;;;;;;;;;FINR;;;;
FuS - Zeitschrift fÅr Familienunternehmen und Strategien;;;;;;;;;;;FUS;;;;
GDI_Impuls;;;;;;;;;;;GDI;;;;
Gefahrgut Profi;;;;;;;;;;;GEPR;;;;
GENIOS WirtschaftsWissen;;;;;;;;;;;GWW;;;;
German Journal of Human Resource Management;;;;;;;;;;;GJHR;;;;
Geschichte und Gesellschaft;;;;;;;;;;;GUG;;;;
GesR - Gesundheitsrecht;;;;;;;;;;;GHR;;;;
Gewerbe Archiv;;;;;;;;;;;GA;;;;
GfK Marketing Intelligence Review;;;;;;;;;;;GFKM;;;;
GmbH-Steuerpraxis;;;;;;;;;;;GMST;;;;
GoingPublic Magazin;;;;;;;;;;;GOP;;;;
GWP ? Gesellschaft Wirtschaft Politik;;;;;;;;;;;BGWP;;;;
Handel im Fokus;;;;;;;;;;;HIF;;;;
Historical Social Research;;;;;;;;;;;HSR;;;;
HMD - Praxis der Wirtschaftsinformatik (bis 294/2013);;;;;;;;;;;HMD;;;;
HMD - Praxis der Wirtschaftsinformatik (ab 1/2014);;;;;;;;;;;HMDS;;;;
HOMO OECONOMICUS;;;;;;;;;;;HOE;;;;
ifo Dresden berichtet;;;;;;;;;;;IFOD;;;;
ifo Konjunkturperspektiven;;;;;;;;;;;IFKP;;;;
ifo Schnelldienst;;;;;;;;;;;IFOS;;;;
IM+io - Das Magazin fÅr Innovation, Organisation & Management;;;;;;;;;;;IMC;;;;
Immobilien & Finanzierung - Der langfristige Kredit;;;;;;;;;;;LAK;;;;
Industrial Engineering - Fachzeitschrift des REFA-Bundesverbandes;;;;;;;;;;;REFA;;;;
Industrielle Beziehungen;;;;;;;;;;;INDB;;;;
Industrie Management;;;;;;;;;;;IM;;;;
Informationsdienst Soziale Indikatoren;;;;;;;;;;;ISI;;;;
Internationales Afrikaforum AufsÑtze;;;;;;;;;;;IAA;;;;
Internationales Afrikaforum Chronik;;;;;;;;;;;IAC;;;;
International Journal of Action Research;;;;;;;;;;;IJAR;;;;
Interpersona;;;;;;;;;;;IJPR;;;;
is report;;;;;;;;;;;ISR;;;;
IT-Governance;;;;;;;;;;;ITG;;;;
IW-Trends;;;;;;;;;;;IWT;;;;
JahrbÅcher fÅr Nationalîkonomie und Statistik;;;;;;;;;;;JFNS;;;;
Jahrbuch d. Absatz- u. Verbrauchsforsch.;;;;;;;;;;;JFAV;;;;
JOR - Jahrbuch fÅr Ostrecht;;;;;;;;;;;JOR;;;;
Journal of Competence-based Strategic Management;;;;;;;;;;;JCSM;;;;
Journal of East European Management;;;;;;;;;;;JEEM;;;;
Journal of Numerical Cognition;;;;;;;;;;;JNC;;;;
Journal of Social and Political Psychology;;;;;;;;;;;JSPP;;;;
Kontext;;;;;;;;;;;KTX;;;;
KoR Zeitschrift fÅr internationale und kapitalmarktorientierte Rechnungslegung;;;;;;;;;;;KOR;;;;
das Krankenhaus;;;;;;;;;;;KH;;;;
KREDIT und KAPITAL;;;;;;;;;;;KUK;;;;
KU Gesundheitsmanagement;;;;;;;;;;;KU;;;;
Kultursoziologie;;;;;;;;;;;KUSO;;;;
management revue;;;;;;;;;;;MREV;;;;
M&A REVIEW;;;;;;;;;;;MAR;;;;
McK Wissen;;;;;;;;;;;MCKW;;;;
MDA - Methoden, Daten, Analysen;;;;;;;;;;;MDA;;;;
MDR - Monatsschrift fÅr Deutsches Recht;;;;;;;;;;;MDR;;;;
Mitbestimmungspraxis;;;;;;;;;;;MBP;;;;
mt - medizintechnik;;;;;;;;;;;MTME;;;;
